,FECHA,FRECUENCIA
0,2023-11-10,8
1,2023-11-11,12
2,2023-11-12,14
3,2023-11-13,23
4,2023-11-14,38
5,2023-11-15,50
6,2023-11-16,41
7,2023-11-17,51
8,2023-11-18,25
9,2023-11-19,10
10,2023-11-20,36
11,2023-11-21,39
12,2023-11-22,29
13,2023-11-23,7
14,2023-11-24,12
15,2023-11-25,18
16,2023-11-26,3
17,2023-11-27,6
18,2023-11-28,257
19,2023-11-29,148
20,2023-11-30,283
21,2023-12-01,136
22,2023-12-02,40
23,2023-12-03,17
24,2023-12-04,77
25,2023-12-05,40
26,2023-12-06,23
27,2023-12-07,140
28,2023-12-08,30
29,2023-12-09,19
30,2023-12-10,9
31,2023-12-11,77
32,2023-12-12,21
33,2023-12-13,150
34,2023-12-14,18
35,2023-12-15,94
36,2023-12-16,35
37,2023-12-17,13
38,2023-12-18,21
39,2023-12-19,23
40,2023-12-20,17
41,2023-12-21,79
42,2023-12-22,15
43,2023-12-23,6
44,2023-12-24,4
45,2023-12-25,2
46,2023-12-26,33
47,2023-12-27,93
48,2023-12-28,43
49,2023-12-29,56
50,2023-12-30,9
51,2023-12-31,2
52,2024-01-01,6
53,2024-01-02,60
54,2024-01-03,41
55,2024-01-04,32
56,2024-01-05,52
57,2024-01-06,18
58,2024-01-07,7
59,2024-01-08,23
60,2024-01-09,27
61,2024-01-10,12
62,2024-01-11,30
63,2024-01-12,30
64,2024-01-13,14
65,2024-01-14,7
66,2024-01-15,43
67,2024-01-16,27
68,2024-01-17,16
69,2024-01-18,52
70,2024-01-19,23
71,2024-01-20,9
72,2024-01-21,12
73,2024-01-22,28
74,2024-01-23,8
75,2024-01-24,9
76,2024-01-25,10
77,2024-01-26,4
78,2024-01-27,9
79,2024-01-28,3
80,2024-01-29,22
81,2024-01-30,12
82,2024-01-31,21
83,2024-02-01,17
84,2024-02-02,16
85,2024-02-03,9
86,2024-02-04,13
87,2024-02-05,12
88,2024-02-06,11
89,2024-02-07,29
90,2024-02-08,10
91,2024-02-09,0
92,2024-02-10,0
93,2024-02-11,0
94,2024-02-12,0
95,2024-02-13,0
96,2024-02-14,0
97,2024-02-15,0
98,2024-02-16,0
99,2024-02-17,0
100,2024-02-18,0
101,2024-02-19,6
102,2024-02-20,16
103,2024-02-21,22
104,2024-02-22,22
105,2024-02-23,14
106,2024-02-24,15
107,2024-02-25,6
108,2024-02-26,7
109,2024-02-27,4
110,2024-02-28,11
111,2024-02-29,34
112,2024-03-01,11
113,2024-03-02,17
114,2024-03-03,6
115,2024-03-04,22
116,2024-03-05,16
117,2024-03-06,33
118,2024-03-07,33
119,2024-03-08,14
120,2024-03-09,4
121,2024-03-10,9
122,2024-03-11,198
123,2024-03-12,93
124,2024-03-13,116
125,2024-03-14,15
126,2024-03-15,27
127,2024-03-16,11
128,2024-03-17,2
129,2024-03-18,3
130,2024-03-19,12
131,2024-03-20,18
132,2024-03-21,14
133,2024-03-22,16
134,2024-03-23,10
135,2024-03-24,7
136,2024-03-25,9
137,2024-03-26,10
138,2024-03-27,10
139,2024-03-28,4
140,2024-03-29,5
141,2024-03-30,3
142,2024-03-31,7
143,2024-04-01,11
144,2024-04-02,8
145,2024-04-03,14
146,2024-04-04,9
147,2024-04-05,9
148,2024-04-06,1
149,2024-04-07,10
150,2024-04-08,15
151,2024-04-09,8
152,2024-04-10,10
153,2024-04-11,17
154,2024-04-12,13
155,2024-04-13,10
156,2024-04-14,6
157,2024-04-15,9
158,2024-04-16,8
159,2024-04-17,23
160,2024-04-18,17
161,2024-04-19,8
162,2024-04-20,15
163,2024-04-21,5
164,2024-04-22,212
165,2024-04-23,416
166,2024-04-24,340
167,2024-04-25,421
168,2024-04-26,318
169,2024-04-27,150
170,2024-04-28,34
171,2024-04-29,44
172,2024-04-30,31
173,2024-05-01,16
174,2024-05-02,32
175,2024-05-03,0
